Year,Month,Day,Hour,Minutes,WTC,WRH,GHR,DHR,RGT,RDT,1A Trina_power,1A_model1_predict,1A_model2_predict,1A_model3_predict
2020.0,1.0,1.0,0.0,0.0,29.68536,21.72717,1.3602206,1.1918788,2.9581988,0.52415323,0.0,-0.02744085,0.007084838,-0.009651551
2020.0,1.0,1.0,0.0,5.0,29.559965,21.878902,1.5322082,1.4609442,3.2884698,0.76456547,0.0,-0.01904485,0.010496724,-0.006928152
2020.0,1.0,1.0,0.0,10.0,29.530006,21.859453,1.186835,1.1182191,3.2535405,0.725652,0.0,-0.018587256,0.009976456,-0.008301867
2020.0,1.0,1.0,0.0,14.999999,29.474438,21.897285,1.0173495,0.82489,3.2605138,0.70636535,0.0,-0.016904105,0.010584704,-0.008458952
2020.0,1.0,1.0,0.0,20.0,29.365288,22.085625,1.3233689,1.1757765,3.1481829,0.69415355,0.0,-0.011104662,0.01472187,-0.0047057415
2020.0,1.0,1.0,0.0,25.0,29.223778,22.275812,1.7208126,1.5753505,3.4263208,0.96414715,0.0,-0.002434815,0.0195072,-0.00045751547
2020.0,1.0,1.0,0.0,29.999998,29.078783,22.451258,1.7534168,1.5821722,3.6119974,1.2571849,0.0,0.0017820823,0.021217896,0.00039443784
2020.0,1.0,1.0,0.0,35.0,28.957483,22.637762,1.742352,1.6335896,3.6431563,1.188009,0.0,0.0040792674,0.023240317,0.0018122783
2020.0,1.0,1.0,0.0,40.0,28.814613,22.835932,1.805557,1.6315093,3.819599,1.1747811,0.0,0.007308459,0.02571458,0.003676936
2020.0,1.0,1.0,0.0,45.0,28.72979,22.9966,1.6711757,1.4981692,3.6348436,0.9641342,0.0,0.0061665364,0.026684517,0.0040830225
2020.0,1.0,1.0,0.0,50.0,28.592758,23.181684,1.8141623,1.7235438,3.314531,0.7621998,0.0,0.0072232806,0.02948001,0.0065604076
2020.0,1.0,1.0,0.0,55.0,28.392078,23.473572,1.9279422,1.7243879,3.1694543,0.6642864,0.0,0.008208814,0.031688437,0.008256983
2020.0,1.0,1.0,1.0,0.0,28.41187,23.467482,1.2682285,0.9731586,3.4008586,0.8813001,0.0,-0.02103854,0.0026413756,-0.01581277
2020.0,1.0,1.0,1.0,5.0,28.358627,23.524519,1.1777116,0.9108264,3.343628,0.66894555,0.0,-0.017848467,0.004381397,-0.014605644
2020.0,1.0,1.0,1.0,10.0,28.253054,23.648945,1.5362867,1.2788674,3.4227068,0.7633329,0.0,-0.009486969,0.009000273,-0.010387422
2020.0,1.0,1.0,1.0,14.999999,27.980003,23.999746,2.186837,2.0091302,3.400011,0.8421471,0.0,0.0013043435,0.015362973,-0.004286757
2020.0,1.0,1.0,1.0,20.0,27.822742,24.286127,1.923522,1.7546222,3.444055,0.83132833,0.0,0.002279355,0.015241867,-0.0053735916
2020.0,1.0,1.0,1.0,25.0,27.678404,24.45644,1.8731474,1.7548807,3.4469736,0.79557973,0.0,0.005087118,0.016788282,-0.0045080613
2020.0,1.0,1.0,1.0,29.999998,27.459087,24.770012,2.1920977,1.9228028,3.535381,0.9772216,0.0,0.011403351,0.020393504,-0.0015387834
2020.0,1.0,1.0,1.0,35.0,27.231169,25.130188,2.4196136,2.0970929,3.8212452,1.1834985,0.0,0.017646829,0.023703562,0.0010371704
2020.0,1.0,1.0,1.0,40.0,26.885876,25.678627,2.6913302,2.378614,3.9549508,1.4061192,0.0,0.023522913,0.026827075,0.003367246
2020.0,1.0,1.0,1.0,45.0,26.445585,26.371904,2.8592257,2.6390405,4.0279994,1.5541558,0.0,0.027947707,0.029050978,0.0047059325
2020.0,1.0,1.0,1.0,50.0,26.154757,26.898197,2.8064568,2.490644,4.173337,1.506821,0.0,0.02918377,0.030223483,0.005036803
2020.0,1.0,1.0,1.0,55.0,25.88854,27.293535,2.5954454,2.394536,4.163086,1.4486376,0.0,0.028468858,0.030255796,0.0042420086
2020.0,1.0,1.0,2.0,0.0,25.693916,27.67194,2.5247672,2.3329113,4.123783,1.3839715,0.0,0.0013965989,0.005305987,-0.015255708
2020.0,1.0,1.0,2.0,5.0,25.608995,27.869648,2.4227057,2.0465677,4.0769944,1.3611019,0.0,0.0042377445,0.0062544723,-0.015109756
2020.0,1.0,1.0,2.0,10.0,25.520905,27.882938,1.9233755,1.6393405,4.0822873,1.3467977,0.0,0.0041585057,0.004572832,-0.017810619
2020.0,1.0,1.0,2.0,14.999999,25.425531,28.031855,1.772595,1.5866488,3.7914984,1.1592758,0.0,0.0052227178,0.005390164,-0.017617146
2020.0,1.0,1.0,2.0,20.0,25.190056,28.441647,1.7672966,1.5883197,3.234269,0.9301618,0.0,0.005795427,0.0064483513,-0.017185263
2020.0,1.0,1.0,2.0,25.0,25.302992,28.33007,0.78578264,0.5411509,2.5121014,0.41964924,0.0,-0.0055132178,0.0011593163,-0.023434054
2020.0,1.0,1.0,2.0,29.999998,25.77338,27.52312,0.5106008,0.53365386,2.08503,0.23200743,0.0,-0.0074858633,0.00243745,-0.022225434
2020.0,1.0,1.0,2.0,35.0,26.193718,26.736574,0.4056879,0.5267362,2.0275729,0.16043001,0.0,-0.0064216005,0.005017884,-0.01970528
2020.0,1.0,1.0,2.0,40.0,26.268007,26.508204,0.5527151,0.5350587,2.5370567,0.3113171,0.0,-0.00041712832,0.008817528,-0.016314846
2020.0,1.0,1.0,2.0,45.0,26.183865,26.631592,0.7037558,0.55778134,2.5168118,0.27468482,0.0,0.0023808933,0.011726796,-0.013845878
2020.0,1.0,1.0,2.0,50.0,26.044092,26.766134,0.8673753,0.61345947,2.464389,0.25089487,0.0,0.0051235044,0.014502739,-0.011506841
2020.0,1.0,1.0,2.0,55.0,26.020815,26.854113,0.7930445,0.5669372,2.4229462,0.23891616,0.0,0.005126678,0.015973665,-0.010587003
2020.0,1.0,1.0,3.0,0.0,25.994501,26.837639,1.2277733,0.9635623,2.5427783,0.28669184,0.0,-0.017331168,-0.004711898,-0.025342157
2020.0,1.0,1.0,3.0,5.0,25.764149,27.164143,1.58784,1.3028843,3.0627794,0.63388664,0.0,-0.00575874,-0.00018968902,-0.021544144
2020.0,1.0,1.0,3.0,10.0,25.555292,27.474323,1.4924523,1.1699389,3.573737,0.9551667,0.0,0.000716326,0.00094480056,-0.02152242
2020.0,1.0,1.0,3.0,14.999999,25.165407,28.170025,2.1364927,1.811939,3.770153,1.172066,0.0,0.012542032,0.006966719,-0.016072633
2020.0,1.0,1.0,3.0,20.0,24.790684,28.8788,2.2208686,1.989417,3.8691845,1.1768241,0.0,0.017827487,0.009161839,-0.014776034
2020.0,1.0,1.0,3.0,25.0,24.517384,29.461178,2.5325658,2.2621627,3.8422954,1.1577721,0.0,0.023866137,0.012993797,-0.01155436
2020.0,1.0,1.0,3.0,29.999998,24.272762,29.817572,2.304342,2.0489917,3.764954,1.1299549,0.0,0.024401968,0.0127336625,-0.012756057
2020.0,1.0,1.0,3.0,35.0,24.138317,30.21254,2.1799033,1.8526825,3.6670933,1.1080171,0.0,0.024717905,0.013423371,-0.012913549
2020.0,1.0,1.0,3.0,40.0,24.166077,30.013168,1.9522814,1.6815845,3.778414,1.0777178,0.0,0.02560453,0.014199157,-0.012712611
2020.0,1.0,1.0,3.0,45.0,23.993582,30.467037,1.7003922,1.424715,3.5555134,0.91203135,0.0,0.02335495,0.013957488,-0.013793199
2020.0,1.0,1.0,3.0,50.0,23.923527,30.444498,1.105517,0.7230269,3.4532406,0.84476304,0.0,0.018358191,0.011152763,-0.017554149
2020.0,1.0,1.0,3.0,55.0,24.159504,29.975914,0.73709506,0.5178529,3.2509248,0.6041136,0.0,0.014921816,0.011389544,-0.017592572
2020.0,1.0,1.0,4.0,0.0,24.131227,29.989975,1.1083328,0.8408041,3.2376142,0.6177129,0.0,-0.010972084,-0.010010437,-0.033204023
2020.0,1.0,1.0,4.0,5.0,23.8717,30.547237,1.5290635,1.2674129,3.2153976,0.5057807,0.0,-0.002167519,-0.0050483346,-0.02866172
2020.0,1.0,1.0,4.0,10.0,23.781076,30.686338,1.3677725,1.0868074,2.9050994,0.61586416,0.0,-0.0005257269,-0.005060011,-0.029540285
2020.0,1.0,1.0,4.0,14.999999,23.735693,30.715199,1.3407129,1.0181302,3.2669923,0.6718362,0.0,0.005202454,-0.0027334655,-0.027880233
2020.0,1.0,1.0,4.0,20.0,23.60318,31.06467,1.6393559,1.3896586,3.3600743,0.69788194,0.0,0.012462352,0.0016312508,-0.023997225
2020.0,1.0,1.0,4.0,25.0,23.529213,31.236244,1.3925414,1.1316437,3.3190794,0.62415034,0.0,0.013018481,0.0018351766,-0.024600314
