Year,Month,Day,Hour,Minutes,WTC,WRH,GHR,DHR,WD,WDR,RGT,RDT,1A Trina_power,1A_model1_predict,1A_model2_predict,1A_model3_predict
2020.0,1.0,1.0,6.9999995,0.0,26.475153,26.081675,162.15337,56.253025,33.677536,0.0,89.18805,48.19026,1.3559332,2.4617758,2.4731033,2.3824134
2020.0,1.0,1.0,6.9999995,5.0,26.830187,23.874067,184.13145,60.059135,33.177525,0.0,103.59674,51.176495,2.1965334,2.6102982,2.6285176,2.5398452
2020.0,1.0,1.0,6.9999995,10.0,27.303814,22.543364,205.89793,63.810493,32.720444,0.0,120.53069,54.154552,1.4687333,2.7612257,2.7837434,2.6969786
2020.0,1.0,1.0,6.9999995,14.999999,27.597961,22.269592,225.95987,66.61394,32.253742,0.0,138.59354,56.979244,0.84366673,2.900323,2.921833,2.836487
2020.0,1.0,1.0,6.9999995,20.0,27.4982,21.532722,249.44283,70.42803,31.87381,0.0,160.11479,60.65758,1.0051332,3.0512922,3.0655777,2.981237
2020.0,1.0,1.0,6.9999995,25.0,27.305204,21.550259,272.90952,73.56928,31.644732,0.0,181.0969,63.94259,2.8616667,3.1946006,3.1975358,3.1147678
2020.0,1.0,1.0,6.9999995,29.999998,27.541267,21.518473,294.54684,74.75937,31.38,0.0,202.50238,66.59942,3.0025332,3.3357913,3.331723,3.2510982
2020.0,1.0,1.0,6.9999995,35.0,27.885065,20.99326,307.84216,76.30852,31.167507,0.0,223.5042,69.21554,1.2412667,3.4384127,3.426695,3.3446348
2020.0,1.0,1.0,6.9999995,40.0,28.161505,20.462471,321.37015,79.02568,30.885126,0.0,244.02553,71.99137,1.2249999,3.5416365,3.522859,3.4397635
2020.0,1.0,1.0,6.9999995,45.0,28.31863,19.941315,344.34866,82.15051,30.641245,0.0,266.08755,75.40158,2.4470665,3.6837375,3.6585672,3.5784593
2020.0,1.0,1.0,6.9999995,50.0,28.516531,19.537373,366.09467,84.15374,30.399364,0.0,286.00845,77.04346,3.7241333,3.820162,3.7897968,3.7131648
2020.0,1.0,1.0,6.9999995,55.0,29.126623,18.555094,387.60657,86.06987,30.10086,0.0,305.05212,78.581696,2.8348668,3.9617727,3.9326847,3.860337
2020.0,1.0,1.0,8.0,0.0,29.352526,18.251177,410.35486,89.273926,29.708637,0.0,327.56906,82.210144,1.5372667,4.0120273,4.0293183,3.976798
2020.0,1.0,1.0,8.0,5.0,29.507206,18.045732,433.0309,92.7885,29.483025,0.0,350.17853,85.23148,1.72,4.139981,4.162806,4.113383
2020.0,1.0,1.0,8.0,10.0,29.578718,17.921213,454.34512,95.14692,29.292088,0.0,371.23468,87.952576,4.326733,4.255561,4.28238,4.2360773
2020.0,1.0,1.0,8.0,14.999999,30.115347,17.169662,470.5149,97.35239,29.02906,0.0,389.03278,90.652306,4.7620664,4.3561306,4.391025,4.3465657
2020.0,1.0,1.0,8.0,20.0,30.458225,16.630033,492.35223,100.836006,28.821981,0.0,408.33563,93.00198,4.8388,4.477873,4.5204005,4.479855
2020.0,1.0,1.0,8.0,25.0,30.28072,16.654154,516.57886,106.149475,28.702692,0.0,428.61002,95.35122,4.9754,4.5978746,4.642422,4.606408
2020.0,1.0,1.0,8.0,29.999998,30.371082,16.726698,533.4201,107.71453,28.779438,0.0,450.3586,99.17869,5.0820665,4.676894,4.7198324,4.6857433
2020.0,1.0,1.0,8.0,35.0,30.604452,16.45784,551.4375,109.31006,28.744478,0.0,472.54584,101.97762,5.2078667,4.7681665,4.8137245,4.7819033
2020.0,1.0,1.0,8.0,40.0,30.586382,16.471222,571.77045,112.61484,28.73334,0.0,491.75784,104.45096,5.3110003,4.862155,4.908855,4.8808827
2020.0,1.0,1.0,8.0,45.0,30.730515,16.316534,604.1115,114.56275,28.716644,0.0,508.65604,106.10204,5.400134,5.0017033,5.0591044,5.0412145
2020.0,1.0,1.0,8.0,50.0,30.973587,16.360113,626.17804,117.07625,28.676184,0.0,524.45935,107.85529,5.4583335,5.1020246,5.163812,5.151818
2020.0,1.0,1.0,8.0,55.0,30.967123,16.172857,647.62134,120.95544,28.57964,0.0,542.9813,111.48035,5.5684667,5.192874,5.2580895,5.250252
2020.0,1.0,1.0,9.0,0.0,31.321697,15.578539,666.2298,123.75816,28.500937,0.0,561.23553,116.51659,5.639667,5.2356524,5.352723,5.348291
2020.0,1.0,1.0,9.0,5.0,31.597803,15.298857,685.0339,128.01122,28.380243,0.0,576.4319,120.19072,5.6882,5.3167615,5.4458337,5.4447727
2020.0,1.0,1.0,9.0,10.0,31.376287,15.559718,703.3344,133.57372,28.19969,0.0,595.34674,123.84218,5.769867,5.3891015,5.5258846,5.527476
2020.0,1.0,1.0,9.0,14.999999,31.488815,15.44702,716.5958,137.67142,28.04226,0.0,615.0206,128.69962,5.8498,5.4429183,5.587369,5.589588
2020.0,1.0,1.0,9.0,20.0,31.517193,15.51885,728.16003,140.8248,27.988346,0.0,632.1887,131.1287,5.9030666,5.489219,5.638892,5.641955
2020.0,1.0,1.0,9.0,25.0,31.8105,15.130717,745.04846,143.78284,27.78521,0.0,651.7431,135.5338,5.965201,5.5583577,5.7201347,5.7249527
