Test,SVM,BP,DNN,LSTM
0,0.5320363639676662,0.29505032148561866,0.27429382568072536,0.2579690573475033
1,0.4959696308437761,0.259605487423585,0.23358909449196177,0.22634589594585167
2,0.4946083184766347,0.2577006357431619,0.23907794029887383,0.23054137944361544
3,0.5127545992791034,0.2536820228551166,0.2428901385734647,0.24171884630444215
4,0.6171023524416985,0.3496539337916091,0.32690315730698966,0.3428957468251325
5,0.5047905685597168,0.22536041083696554,0.20613770823748945,0.2327659928510409
6,0.48038869386486965,0.1660775461842694,0.1486447731749705,0.20256516445670927
7,0.5257199644368236,0.26701864517488794,0.2543704411381662,0.2517606458363933
8,0.5105695680329165,0.27302790345303024,0.25831302548901236,0.2534461327339592
mean,0.5193266733225784,0.2607974341053605,0.24269112271018375,0.24888987352718306
