Test,评价指标,BP,DNN,LSTM
站点一,RMSE,0.5282855630612254,0.49960793084121535,0.5455607562352454
站点一,MAE,0.26321154832839966,0.2398802787065506,0.2813474237918854
站点二,RMSE,0.48504301890587337,0.46781384446862534,0.49336419907338475
站点二,MAE,0.26173678040504456,0.2502266466617584,0.26057782769203186
站点三,RMSE,0.34232447639160074,0.3214524731850787,0.333836684560278
站点三,MAE,0.14815887808799744,0.1405903548002243,0.1592588722705841
站点四,RMSE,0.3636405767459532,0.32699319372909785,0.3215174341643546
站点四,MAE,0.15912765264511108,0.1272299438714981,0.13678373396396637
站点五,RMSE,0.6432244664894354,0.8369889109023917,0.8492137470115538
站点五,MAE,0.31226906180381775,0.3888968229293823,0.40269380807876587
站点六,RMSE,0.5277725454400125,0.5522882123378888,0.595425300224111
站点六,MAE,0.2794550061225891,0.2953049838542938,0.3279283046722412
站点七,RMSE,0.7000793190703177,0.7810642403058717,0.831065266381607
站点七,MAE,0.377322793006897,0.4262172281742096,0.462811142206192
站点八,RMSE,0.36799978137528105,0.34464300726182096,0.3653502662918751
站点八,MAE,0.16021408140659332,0.13558869063854218,0.1605711728334427
站点九,RMSE,0.3422948860385451,0.321385319908712,0.3334407062251237
站点九,MAE,0.14862000942230225,0.13166211545467377,0.148859441280365
